store_name,product_name,avg_daily_sales,total_sales_volume,days_sold,sales_rank,rankings_class
City Fresh Store,Milk,3.666666667,44,12,0.9378881988,Fast-moving
City Fresh Store,Yogurt,3.769230769,49,13,0.9689440994,Fast-moving
City Fresh Store,Salmon,3.3125,53,16,0.8136645963,Fast-moving
City Fresh Store,Cereal,3.470588235,59,17,0.8757763975,Fast-moving
Corner Grocery,Yogurt,3.4,17,5,0.850931677,Fast-moving
Corner Grocery,Ground Beef,3.285714286,23,7,0.801242236,Fast-moving
Corner Grocery,Rice,4.625,37,8,1,Fast-moving
Corner Grocery,Cheese,3.4,51,15,0.8447204969,Fast-moving
Corner Grocery,Bananas,3.684210526,70,19,0.9440993789,Fast-moving
FamilyFood Express,Cheese,3.727272727,41,11,0.950310559,Fast-moving
FamilyFood Express,Carrots,3.833333333,46,12,0.9751552795,Fast-moving
FreshMart Downtown,Rice,3.375,27,8,0.8322981366,Fast-moving
FreshMart Downtown,Pasta,3.875,31,8,0.9813664596,Fast-moving
GreenGrocer Plaza,Rice,3.5,28,8,0.8819875776,Fast-moving
GreenGrocer Plaza,Bananas,3.6,36,10,0.9130434783,Fast-moving
GreenGrocer Plaza,Salmon,3.909090909,43,11,0.9875776398,Fast-moving
GreenGrocer Plaza,Potatoes,3.388888889,61,18,0.8385093168,Fast-moving
MegaMart Westside,Yogurt,3.75,30,8,0.9627329193,Fast-moving
MegaMart Westside,Orange Juice,4.125,33,8,0.9937888199,Fast-moving
MegaMart Westside,Rice,3.3,33,10,0.8074534161,Fast-moving
MegaMart Westside,Chicken Breast,3.5,42,12,0.8819875776,Fast-moving
MegaMart Westside,Potatoes,3.461538462,45,13,0.8633540373,Fast-moving
MegaMart Westside,Ground Beef,3.538461538,46,13,0.9068322981,Fast-moving
MegaMart Westside,Apples,3.642857143,51,14,0.9316770186,Fast-moving
QuickStop Market,Apples,3.625,29,8,0.9254658385,Fast-moving
QuickStop Market,Cereal,3.333333333,30,9,0.8198757764,Fast-moving
QuickStop Market,Yogurt,3.5,35,10,0.8819875776,Fast-moving
QuickStop Market,Pasta,3.357142857,47,14,0.8260869565,Fast-moving
SuperSave Central,Bread,3.6,36,10,0.9130434783,Fast-moving
SuperSave Central,Carrots,3.466666667,52,15,0.8695652174,Fast-moving
SuperSave Central,Tomatoes,3.5,56,16,0.8819875776,Fast-moving
ValuePlus Market,Orange Juice,3.454545455,38,11,0.8571428571,Fast-moving
ValuePlus Market,Bread,3.727272727,41,11,0.9565217391,Fast-moving
City Fresh Store,Cheese,2.777777778,25,9,0.2919254658,Medium-moving
City Fresh Store,Eggs,3.1,31,10,0.6086956522,Medium-moving
City Fresh Store,Apples,3.2,32,10,0.701863354,Medium-moving
City Fresh Store,Pasta,3.25,39,12,0.7763975155,Medium-moving
City Fresh Store,Orange Juice,2.733333333,41,15,0.248447205,Medium-moving
City Fresh Store,Potatoes,2.733333333,41,15,0.248447205,Medium-moving
City Fresh Store,Rice,3.1875,51,16,0.6956521739,Medium-moving
City Fresh Store,Bread,3.111111111,56,18,0.6273291925,Medium-moving
Corner Grocery,Carrots,3.166666667,19,6,0.6645962733,Medium-moving
Corner Grocery,Potatoes,2.777777778,25,9,0.2919254658,Medium-moving
Corner Grocery,Bread,2.8,28,10,0.3105590062,Medium-moving
Corner Grocery,Apples,3,30,10,0.4906832298,Medium-moving
Corner Grocery,Eggs,3.090909091,34,11,0.5838509317,Medium-moving
Corner Grocery,Pasta,2.75,33,12,0.2795031056,Medium-moving
Corner Grocery,Cereal,3.166666667,38,12,0.6645962733,Medium-moving
Corner Grocery,Salmon,3.071428571,43,14,0.5714285714,Medium-moving
Corner Grocery,Milk,2.75,44,16,0.2732919255,Medium-moving
Corner Grocery,Onions,3,51,17,0.4534161491,Medium-moving
Corner Grocery,Chicken Breast,3,54,18,0.4534161491,Medium-moving
FamilyFood Express,Bananas,3,12,4,0.4906832298,Medium-moving
FamilyFood Express,Milk,2.666666667,16,6,0.2236024845,Medium-moving
FamilyFood Express,Apples,2.909090909,32,11,0.4161490683,Medium-moving
FamilyFood Express,Cereal,2.769230769,36,13,0.2857142857,Medium-moving
FamilyFood Express,Salmon,2.642857143,37,14,0.2173913043,Medium-moving
FamilyFood Express,Orange Juice,3.142857143,44,14,0.652173913,Medium-moving
FamilyFood Express,Yogurt,3.214285714,45,14,0.7329192547,Medium-moving
FamilyFood Express,Eggs,3.055555556,55,18,0.5590062112,Medium-moving
FamilyFood Express,Potatoes,3.222222222,58,18,0.7391304348,Medium-moving
FamilyFood Express,Bread,2.947368421,56,19,0.4472049689,Medium-moving
FreshMart Downtown,Bread,2.714285714,19,7,0.2422360248,Medium-moving
FreshMart Downtown,Eggs,2.875,23,8,0.3788819876,Medium-moving
FreshMart Downtown,Onions,2.888888889,26,9,0.397515528,Medium-moving
FreshMart Downtown,Cereal,3,27,9,0.4906832298,Medium-moving
FreshMart Downtown,Tomatoes,3.2,32,10,0.701863354,Medium-moving
FreshMart Downtown,Cheese,3.181818182,35,11,0.6894409938,Medium-moving
