store_name,product_name,total_units_sold,total_revenue,total_points_issued,points_per_dollar,avg_unit_price
City Fresh Store,Orange Juice,41.0,690.07000000000000,4901,7.1021780399090000,16.830975609756100
City Fresh Store,Salmon,53.0,603.04000000000000,4887,8.1039400371451300,11.378113207547200
City Fresh Store,Rice,51.0,683.6,4308,6.3019309537741400,13.403921568627500
City Fresh Store,Potatoes,41.0,632.19,3855,6.0978503298059100,15.419268292682900
City Fresh Store,Yogurt,49.0,564.83,3791,6.7117539790733500,11.527142857142900
City Fresh Store,Cereal,59.0,1028.32,3786,3.6817333125875200,17.429152542372900
City Fresh Store,Chicken Breast,32.0,547.86,3676,6.7097433650932700,17.120625
City Fresh Store,Ground Beef,39.0,460.2300000000000,3656,7.9438541598765800,11.800769230769200
City Fresh Store,Bread,56.0,920.94000000000000,3630,3.9416248615545000,16.445357142857100
City Fresh Store,Onions,36.0,577.66,3221,5.5759443271128400,16.046111111111100
City Fresh Store,Apples,32.0,292.85000000000000,3134,10.701724432303200,9.1515625000000000
City Fresh Store,Milk,44.0,576.74,3010,5.2189894926656700,13.107727272727300
City Fresh Store,Pasta,39.0,562.25,2855,5.0778123610493600,14.416666666666700
City Fresh Store,Carrots,21.0,339.05,2582,7.6153959592980400,16.145238095238100
City Fresh Store,Eggs,31.0,435.2,2539,5.8340992647058800,14.038709677419400
City Fresh Store,Cheese,25.0,300.70000000000000,2063,6.8606584635849700,12.028000000000000
City Fresh Store,Tomatoes,19.0,294.09,1917,6.5184127307967000,15.478421052631600
City Fresh Store,Bananas,21.0,279.08,1635,5.8585351870431400,13.289523809523800
Corner Grocery,Milk,44.0,594.28,4542,7.6428619505956800,13.506363636363600
Corner Grocery,Chicken Breast,54.0,825.04,4420,5.35731600892078,15.278518518518500
Corner Grocery,Bananas,70.0,955.25000000000000,4192,4.3883800052342300,13.646428571428600
Corner Grocery,Onions,51.0,813.82,4175,5.1301270551227500,15.957254901960800
Corner Grocery,Tomatoes,38.0,365.67000000000000,3835,10.487598107583300,9.6228947368421000
Corner Grocery,Cheese,51.0,762.23,3293,4.32021830681028,14.945686274509800
Corner Grocery,Salmon,43.0,563.88,3115,5.5242250124139900,13.113488372093000
Corner Grocery,Eggs,34.0,307.15,3110,10.125345922187900,9.0338235294117600
Corner Grocery,Cereal,38.0,462.5,3025,6.54054054054054,12.171052631578900
