store_name,product_name,total_units_sold,total_revenue,total_points_issued,points_per_dollar,avg_unit_price,correlation_points_vs_sales,correlation_points_vs_revenue
ValuePlus Market,Pasta,25,363.26,1926,5.301987557,14.5304,0.7660816336,0.6916331227
ValuePlus Market,Potatoes,26,440.37,2224,5.050298613,16.93730769,,
ValuePlus Market,Cereal,27,279.15,2029,7.268493641,10.33888889,,
ValuePlus Market,Cheese,27,331.79,2060,6.208746496,12.28851852,,
ValuePlus Market,Apples,28,447.88,2983,6.660266143,15.99571429,,
ValuePlus Market,Milk,34,379.76,2806,7.388877186,11.16941176,,
ValuePlus Market,Onions,29,414.87,2614,6.300768916,14.30586207,,
ValuePlus Market,Salmon,45,553.66,3142,5.674962974,12.30355556,,
ValuePlus Market,Bananas,31,447.84,2344,5.234012147,14.44645161,,
ValuePlus Market,Orange Juice,38,412.66,3273,7.931469006,10.85947368,,
ValuePlus Market,Chicken Breast,41,617.06,3298,5.344699057,15.0502439,,
ValuePlus Market,Bread,41,424.51,3472,8.178841488,10.35390244,,
ValuePlus Market,Ground Beef,34,380.38,2552,6.709080393,11.18764706,,
ValuePlus Market,Eggs,48,726.76,2472,3.401397986,15.14083333,,
GreenGrocer Plaza,Bread,35,620.68,3437,5.537475027,17.73371429,,
GreenGrocer Plaza,Cereal,34,480.31,3322,6.916366513,14.12676471,,
GreenGrocer Plaza,Apples,42,639.2,3825,5.984042553,15.21904762,,
GreenGrocer Plaza,Onions,41,449.7,3939,8.759172782,10.96829268,,
GreenGrocer Plaza,Ground Beef,41,707.4,4073,5.757704269,17.25365854,,
GreenGrocer Plaza,Carrots,26,483.58,3321,6.867529675,18.59923077,,
MegaMart Westside,Bread,35,517.9,3953,7.632747635,14.79714286,,
GreenGrocer Plaza,Cheese,52,571.34,4402,7.704694228,10.98730769,,
GreenGrocer Plaza,Tomatoes,21,277.67,2854,10.27838801,13.22238095,,
MegaMart Westside,Potatoes,45,612.67,4071,6.644686373,13.61488889,,
MegaMart Westside,Salmon,32,450.66,3519,7.808547464,14.083125,,
GreenGrocer Plaza,Orange Juice,55,686,4563,6.651603499,12.47272727,,
GreenGrocer Plaza,Chicken Breast,47,688.37,2811,4.083559714,14.64617021,,
MegaMart Westside,Rice,33,363.88,3370,9.261294932,11.02666667,,
MegaMart Westside,Apples,51,1006.67,4184,4.156277628,19.73862745,,
MegaMart Westside,Chicken Breast,42,453.75,3457,7.618732782,10.80357143,,
GreenGrocer Plaza,Milk,35,493.6,2169,4.394246353,14.10285714,,
MegaMart Westside,Ground Beef,46,558.08,3137,5.621057913,12.13217391,,
MegaMart Westside,Cereal,38,657.12,3182,4.842342342,17.29263158,,
GreenGrocer Plaza,Salmon,43,516.27,1861,3.604702966,12.00627907,,
GreenGrocer Plaza,Bananas,36,678.62,2334,3.439332764,18.85055556,,
GreenGrocer Plaza,Eggs,23,443.83,2172,4.893765631,19.29695652,,
MegaMart Westside,Milk,17,227.81,2782,12.211931,13.40058824,,
GreenGrocer Plaza,Pasta,28,438.21,2348,5.358161612,15.65035714,,
GreenGrocer Plaza,Yogurt,26,398.32,2323,5.831994376,15.32,,
GreenGrocer Plaza,Rice,28,453.42,2514,5.544528252,16.19357143,,
MegaMart Westside,Onions,51,690.94,4468,6.466552812,13.54784314,,
GreenGrocer Plaza,Potatoes,61,854.24,4824,5.64712493,14.00393443,,
MegaMart Westside,Orange Juice,33,547.23,1658,3.029804653,16.58272727,,
QuickStop Market,Eggs,34,533.45,4445,8.332552254,15.68970588,,
FreshMart Downtown,Yogurt,42,634.69,5347,8.424585231,15.11166667,,
FreshMart Downtown,Salmon,16,168.61,1425,8.451456023,10.538125,,
MegaMart Westside,Bananas,29,418.87,1714,4.091961706,14.4437931,,
MegaMart Westside,Yogurt,30,309.95,1764,5.691240523,10.33166667,,
MegaMart Westside,Pasta,30,330.58,2753,8.327787525,11.01933333,,
MegaMart Westside,Eggs,28,480.28,2691,5.602981594,17.15285714,,
MegaMart Westside,Cheese,23,244.49,2484,10.15992474,10.63,,
FamilyFood Express,Onions,23,343.3,4084,11.89630061,14.92608696,,
Corner Grocery,Bananas,70,955.25,4192,4.388380005,13.64642857,,
Corner Grocery,Tomatoes,38,365.67,3835,10.48759811,9.622894737,,
MegaMart Westside,Carrots,26,272.87,2116,7.754608422,10.495,,
Corner Grocery,Cheese,51,762.23,3293,4.320218307,14.94568627,,
FreshMart Downtown,Eggs,23,426.41,1701,3.989118454,18.53956522,,
FamilyFood Express,Orange Juice,44,555.25,4165,7.501125619,12.61931818,,
City Fresh Store,Cereal,59,1028.32,3786,3.681733313,17.42915254,,
SuperSave Central,Cereal,46,585.74,5138,8.771810018,12.73347826,,
QuickStop Market,Tomatoes,51,677.19,5649,8.341824303,13.27823529,,
MegaMart Westside,Tomatoes,69,1152.04,5013,4.351411409,16.69623188,,
City Fresh Store,Yogurt,49,564.83,3791,6.711753979,11.52714286,,
City Fresh Store,Potatoes,41,632.19,3855,6.09785033,15.41926829,,
City Fresh Store,Chicken Breast,32,547.86,3676,6.709743365,17.120625,,
FamilyFood Express,Cereal,36,449.17,4744,10.5617027,12.47694444,,
Corner Grocery,Onions,51,813.82,4175,5.130127055,15.9572549,,
Corner Grocery,Chicken Breast,54,825.04,4420,5.357316009,15.27851852,,
Corner Grocery,Milk,44,594.28,4542,7.642861951,13.50636364,,
Corner Grocery,Salmon,43,563.88,3115,5.524225012,13.11348837,,
FamilyFood Express,Potatoes,58,821.08,4223,5.143225995,14.15655172,,
FreshMart Downtown,Milk,34,507.12,4110,8.104590629,14.91529412,,
Corner Grocery,Eggs,34,307.15,3110,10.12534592,9.033823529,,
Corner Grocery,Cereal,38,462.5,3025,6.540540541,12.17105263,,
Corner Grocery,Potatoes,25,474.29,2774,5.848742331,18.9716,,
Corner Grocery,Pasta,33,513.72,2780,5.411508215,15.56727273,,
City Fresh Store,Rice,51,683.6,4308,6.301930954,13.40392157,,
City Fresh Store,Orange Juice,41,690.07,4901,7.10217804,16.83097561,,
City Fresh Store,Bread,56,920.94,3630,3.941624862,16.44535714,,
City Fresh Store,Ground Beef,39,460.23,3656,7.94385416,11.80076923,,
Corner Grocery,Yogurt,17,222.3,2307,10.37786775,13.07647059,,
FamilyFood Express,Yogurt,45,616.44,4359,7.07124781,13.69866667,,
Corner Grocery,Rice,37,462.1,2096,4.535814759,12.48918919,,
Corner Grocery,Orange Juice,26,408.13,2765,6.774802146,15.69730769,,
Corner Grocery,Apples,30,499.44,2432,4.869453788,16.648,,
FreshMart Downtown,Bread,19,364.69,1738,4.765691409,19.19421053,,
Corner Grocery,Bread,28,324.84,2522,7.763822189,11.60142857,,
FamilyFood Express,Bananas,12,139.78,922,6.596079554,11.64833333,,
City Fresh Store,Bananas,21,279.08,1635,5.858535187,13.28952381,,
City Fresh Store,Onions,36,577.66,3221,5.575944327,16.04611111,,
City Fresh Store,Apples,32,292.85,3134,10.70172443,9.1515625,,
Corner Grocery,Carrots,19,241.51,1174,4.861082357,12.71105263,,
City Fresh Store,Milk,44,576.74,3010,5.218989493,13.10772727,,
ValuePlus Market,Carrots,32,334.21,2454,7.342688729,10.4440625,,
FreshMart Downtown,Cheese,35,579.37,3334,5.754526468,16.55342857,,
City Fresh Store,Salmon,53,603.04,4887,8.103940037,11.37811321,,
City Fresh Store,Tomatoes,19,294.09,1917,6.518412731,15.47842105,,
City Fresh Store,Pasta,39,562.25,2855,5.077812361,14.41666667,,
FreshMart Downtown,Tomatoes,32,407.39,2846,6.985934854,12.7309375,,
FreshMart Downtown,Apples,42,586.61,2650,4.517481802,13.96690476,,
FreshMart Downtown,Orange Juice,42,650.57,3614,5.55512858,15.4897619,,
Corner Grocery,Ground Beef,23,489.35,1703,3.480126699,21.27608696,,
City Fresh Store,Carrots,21,339.05,2582,7.615395959,16.1452381,,
FreshMart Downtown,Pasta,31,506.29,1952,3.855497837,16.33193548,,
City Fresh Store,Cheese,25,300.7,2063,6.860658464,12.028,,
City Fresh Store,Eggs,31,435.2,2539,5.834099265,14.03870968,,
FreshMart Downtown,Carrots,17,173.26,1803,10.40632575,10.19176471,,
FamilyFood Express,Ground Beef,16,170.68,1735,10.16522147,10.6675,,
FreshMart Downtown,Bananas,43,740.2,3995,5.397189949,17.21395349,,
FamilyFood Express,Bread,56,706.01,4629,6.556564355,12.60732143,,
FreshMart Downtown,Chicken Breast,42,490.28,4057,8.274863343,11.67333333,,
FreshMart Downtown,Rice,27,443.63,2017,4.546581611,16.43074074,,
FreshMart Downtown,Ground Beef,19,374.81,2284,6.093754169,19.72684211,,
FreshMart Downtown,Potatoes,29,396.66,2397,6.042958705,13.67793103,,
FreshMart Downtown,Onions,26,440.4,2541,5.769754768,16.93846154,,
FreshMart Downtown,Cereal,27,315.88,2621,8.29745473,11.69925926,,
FamilyFood Express,Rice,20,277.11,1849,6.672440547,13.8555,,
FamilyFood Express,Carrots,46,540.35,3299,6.105302119,11.74673913,,
SuperSave Central,Milk,27,385.8,2911,7.54536029,14.28888889,,
FamilyFood Express,Salmon,37,635.95,3523,5.539743691,17.18783784,,
FamilyFood Express,Milk,16,193.2,1862,9.637681159,12.075,,
FamilyFood Express,Cheese,41,457.68,3333,7.282380703,11.16292683,,
FamilyFood Express,Eggs,55,590.74,3914,6.625588245,10.74072727,,
FamilyFood Express,Chicken Breast,27,321.42,3062,9.526476262,11.90444444,,
SuperSave Central,Onions,43,533.07,4488,8.419156959,12.39697674,,
FamilyFood Express,Pasta,21,306.89,2061,6.715761348,14.61380952,,
FamilyFood Express,Apples,32,260.65,2943,11.29100326,8.1453125,,
FamilyFood Express,Tomatoes,26,333.79,2234,6.692830822,12.83807692,,
QuickStop Market,Bread,40,646.09,4165,6.446470306,16.15225,,
SuperSave Central,Potatoes,42,698.04,3423,4.903730445,16.62,,
QuickStop Market,Onions,40,341.91,4020,11.75748004,8.54775,,
QuickStop Market,Carrots,31,326.94,3160,9.665382027,10.54645161,,
QuickStop Market,Bananas,40,625.94,3574,5.709812442,15.6485,,
SuperSave Central,Carrots,52,652.52,3502,5.366885306,12.54846154,,
SuperSave Central,Eggs,57,881.77,5440,6.169409256,15.46964912,,
QuickStop Market,Rice,57,781.45,3899,4.989442703,13.70964912,,
SuperSave Central,Tomatoes,56,897.89,3611,4.021650759,16.03375,,
ValuePlus Market,Yogurt,53,792.97,4502,5.677390065,14.96169811,,
QuickStop Market,Pasta,47,681.78,3103,4.551321541,14.50595745,,
SuperSave Central,Pasta,42,770.79,4119,5.34386798,18.35214286,,
SuperSave Central,Cheese,34,388.21,2763,7.117281884,11.41794118,,
SuperSave Central,Rice,23,402.03,2759,6.86267194,17.47956522,,
SuperSave Central,Apples,36,489.43,2852,5.827186727,13.59527778,,
QuickStop Market,Cheese,32,532.6,2986,5.606458881,16.64375,,
QuickStop Market,Cereal,30,430.49,2952,6.857302144,14.34966667,,
QuickStop Market,Salmon,31,444.76,2913,6.549599784,14.34709677,,
SuperSave Central,Chicken Breast,60,763.41,3865,5.062810285,12.7235,,
QuickStop Market,Milk,27,274.06,2743,10.00875721,10.15037037,,
QuickStop Market,Orange Juice,26,288.19,2586,8.973246816,11.08423077,,
QuickStop Market,Chicken Breast,32,431.6,2073,4.803058387,13.4875,,
QuickStop Market,Yogurt,35,352.29,2044,5.802038094,10.06542857,,
QuickStop Market,Apples,29,332.91,2297,6.899762699,11.47965517,,
QuickStop Market,Ground Beef,12,104.53,1186,11.34602506,8.710833333,,
QuickStop Market,Potatoes,26,376.71,1975,5.242759683,14.48884615,,
SuperSave Central,Bread,36,539.15,2684,4.978206436,14.97638889,,
SuperSave Central,Yogurt,29,318.78,2494,7.823577389,10.99241379,,
SuperSave Central,Salmon,33,461.07,2373,5.146723925,13.97181818,,
SuperSave Central,Bananas,34,411.16,2175,5.28991147,12.09294118,,
SuperSave Central,Ground Beef,27,409.77,1205,2.940674037,15.17666667,,
SuperSave Central,Orange Juice,20,271.26,1977,7.288210573,13.563,,
ValuePlus Market,Tomatoes,54,975.98,4706,4.821820119,18.0737037,,
ValuePlus Market,Rice,28,338.13,1895,5.604353355,12.07607143,,
