product_name,total_units_sold,total_revenue,points_per_dollar,recommendation
Apples,42.0,639.2,5.9840425531914900,High Sales & High Reward -> Keep or Expand Program
Apples,51.0,1006.6700000000000,4.1562776282197700,High Sales & High Reward -> Keep or Expand Program
Apples,42.0,586.6100000000000,4.5174818022195300,High Sales & High Reward -> Keep or Expand Program
Apples,36.0,489.43000000000000,5.8271867274176100,High Sales & High Reward -> Keep or Expand Program
Bananas,43.0,740.2,5.3971899486625200,High Sales & High Reward -> Keep or Expand Program
Bananas,36.0,678.62000000000000,3.4393327635495600,High Sales & High Reward -> Keep or Expand Program
Bananas,70.0,955.25000000000000,4.3883800052342300,High Sales & High Reward -> Keep or Expand Program
Bananas,40.0,625.94000000000000,5.7098124420871000,High Sales & High Reward -> Keep or Expand Program
Bread,56.0,920.94000000000000,3.9416248615545000,High Sales & High Reward -> Keep or Expand Program
Bread,56.0,706.0100000000000,6.55656435461254,High Sales & High Reward -> Keep or Expand Program
Bread,41.0,424.51,8.1788414878330300,High Sales & High Reward -> Keep or Expand Program
Bread,36.0,539.15,4.9782064360567600,High Sales & High Reward -> Keep or Expand Program
Bread,40.0,646.09000000000000,6.4464703059945200,High Sales & High Reward -> Keep or Expand Program
Carrots,46.0,540.35,6.1053021189969500,High Sales & High Reward -> Keep or Expand Program
Carrots,52.0,652.52000000000000,5.3668853061975100,High Sales & High Reward -> Keep or Expand Program
Cereal,36.0,449.17000000000000,10.56170269608390,High Sales & High Reward -> Keep or Expand Program
Cereal,59.0,1028.32,3.6817333125875200,High Sales & High Reward -> Keep or Expand Program
Cereal,38.0,462.5,6.54054054054054,High Sales & High Reward -> Keep or Expand Program
Cereal,38.0,657.12,4.8423423423423400,High Sales & High Reward -> Keep or Expand Program
Cereal,46.0,585.74,8.7718100180967700,High Sales & High Reward -> Keep or Expand Program
Cheese,41.0,457.68000000000000,7.2823807026743600,High Sales & High Reward -> Keep or Expand Program
Cheese,51.0,762.23,4.32021830681028,High Sales & High Reward -> Keep or Expand Program
Cheese,52.0,571.34,7.7046942276052800,High Sales & High Reward -> Keep or Expand Program
Chicken Breast,54.0,825.04,5.35731600892078,High Sales & High Reward -> Keep or Expand Program
Chicken Breast,60.0,763.41,5.0628102854298500,High Sales & High Reward -> Keep or Expand Program
Chicken Breast,42.0,490.28,8.27486334339561,High Sales & High Reward -> Keep or Expand Program
